Earnings,Ethnicity,Sex,Height,Education,Age
8000,Other,Male,66,10,60
35000,Hispanic,Male,68,16,30
25000,Other,Male,62,14,37
18000,White,Female,71,10,29
30000,Black,Female,63,16,36
12000,Hispanic,Male,71,6,40
18000,White,Male,72,14,48
20000,Black,Male,72,12,26
31000,White,Female,68,16,43
6000,Hispanic,Male,64,10,36
12000,White,Male,70,13,40
13000,White,Female,66,16,33
26000,White,Female,67,17,34
15000,Black,Female,68,11,31
30000,White,Female,64,17,28
2000,White,Female,65,14,41
5000,Other,Male,70,13,22
53000,White,Female,71,14,26
2000,White,Female,62,13,18
25000,White,Male,71,17,29
5000,White,Male,74,12,18
21000,White,Female,64,13,27
17000,White,Female,70,15,27
12000,White,Female,64,13,37
42000,Hispanic,Male,70,14,44
21000,White,Male,74,12,33
25000,White,Male,74,14,24
3000,White,Female,66,14,19
4000,White,Male,71,12,19
20000,White,Male,69,14,58
52000,White,Male,60,15,50
60000,White,Female,64,12,43
15000,White,Female,64,13,41
90000,White,Male,72,16,50
2000,White,Male,69,12,21
16000,White,Female,67,12,61
24000,Hispanic,Female,65,11,27
15000,Hispanic,Male,68,16,28
42000,White,Male,74,17,43
10000,White,Female,65,12,43
17000,Hispanic,Male,71,13,36
30000,White,Female,64,14,34
32000,White,Female,69,17,37
36000,Hispanic,Female,64,17,34
10000,Hispanic,Male,72,13,20
20000,White,Female,63,15,29
24000,White,Female,65,12,29
17000,White,Male,72,12,32
23000,White,Female,65,14,48
25000,White,Female,64,12,33
50000,White,Male,71,12,50
20000,White,Female,62,12,30
30000,White,Female,66,16,33
7000,White,Female,64,10,39
30000,White,Male,68,11,32
3000,White,Female,66,12,24
20000,White,Female,66,14,43
40000,White,Female,66,16,59
16000,White,Male,66,12,37
11000,White,Female,63,9,51
16000,White,Female,68,13,43
18000,White,Male,70,12,27
12000,White,Female,63,16,26
4000,Black,Male,70,14,21
60000,White,Male,72,12,45
43000,White,Male,75,17,40
31000,White,Female,62,14,39
50000,White,Female,68,17,39
27000,White,Female,68,14,29
30000,White,Male,70,17,56
12000,Black,Male,73,13,21
20000,White,Female,62,17,30
25000,Other,Female,64,16,37
3000,Hispanic,Male,73,15,20
110000,Other,Female,66,18,48
58000,White,Male,70,18,53
10000,White,Female,70,16,36
19000,White,Male,72,12,29
8000,White,Female,64,12,33
60000,White,Male,72,12,50
6000,White,Male,68,12,27
